epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.5465,1.03955,4.73248,1.15463,0.26385,0.41292,0.31704,0.21659,1.08708,4.67565,1.16043,0.0003334,0.0003334,0.0003334
2,71.7643,1.17135,2.66708,1.13733,0.3916,0.42006,0.30615,0.2078,1.13008,4.43472,1.15543,0.000680087,0.000680087,0.000680087
3,95.0742,1.31878,2.14969,1.27027,0.22623,0.38692,0.19623,0.12876,1.26219,3.56658,1.18854,0.00102331,0.00102331,0.00102331
4,116.976,1.30072,2.01319,1.26137,0.3141,0.12354,0.09381,0.05556,1.56991,8.49592,1.51144,0.00136306,0.00136306,0.00136306
5,139.491,1.40064,1.98061,1.27793,0.35092,0.24561,0.22926,0.12906,1.51513,6.37005,1.53127,0.00163399,0.00163399,0.00163399
6,159.843,1.36913,1.86878,1.24722,0.20483,0.42836,0.20796,0.14011,1.31208,14.3727,1.29859,0.00162574,0.00162574,0.00162574
7,181.535,1.42806,1.87582,1.34175,0.37253,0.23099,0.21443,0.11999,1.4203,5.25987,1.3862,0.00161749,0.00161749,0.00161749
8,202.37,1.35763,1.69368,1.28415,0.31479,0.35965,0.2694,0.16854,1.47623,4.30255,1.49426,0.00160924,0.00160924,0.00160924
9,223.075,1.2996,1.70614,1.25504,0.3245,0.29095,0.23961,0.16774,1.29971,5.41282,1.22059,0.00160099,0.00160099,0.00160099
10,245.765,1.30712,1.63288,1.25043,0.46476,0.1736,0.16684,0.11938,1.47267,5.17143,1.38498,0.00159274,0.00159274,0.00159274
11,267.359,1.29233,1.6519,1.28838,0.58186,0.3845,0.38544,0.28736,1.22606,5.89494,1.22904,0.00158448,0.00158448,0.00158448
12,287.104,1.29435,1.50318,1.30374,0.59672,0.47368,0.47122,0.3199,1.2936,3.77387,1.32526,0.00157623,0.00157623,0.00157623
13,309.868,1.29358,1.55191,1.26583,0.39802,0.33553,0.34919,0.24803,1.2173,3.13571,1.25006,0.00156798,0.00156798,0.00156798
14,331.032,1.23012,1.50455,1.19631,0.63283,0.56144,0.59469,0.40989,1.15769,2.19276,1.16639,0.00155973,0.00155973,0.00155973
15,351.385,1.21044,1.44806,1.202,0.66481,0.56579,0.64842,0.4602,1.05732,1.81674,1.13672,0.00155148,0.00155148,0.00155148
16,372.723,1.21992,1.45198,1.22624,0.76235,0.56067,0.60963,0.43592,1.14497,2.38232,1.22986,0.00154323,0.00154323,0.00154323
17,394.01,1.19679,1.41318,1.20824,0.64431,0.61362,0.61927,0.47746,1.13907,2.02421,1.22971,0.00153497,0.00153497,0.00153497
18,418.186,1.145,1.32195,1.18313,0.65441,0.68622,0.68401,0.49937,1.03916,1.75084,1.13151,0.00152672,0.00152672,0.00152672
19,439.686,1.15683,1.3761,1.19089,0.61491,0.58772,0.6658,0.50561,0.98855,2.20907,1.09704,0.00151847,0.00151847,0.00151847
